simulated_event_id,scenario_id,scenario_type,scenario_phase,is_representative,sequence_number,scheduled_at,production_date,shift_id,station_id,lot_id,sequence_in_lot,piece_serial,source_event_id,source_event_key,source_class,source_group_key,source_timestamp,label,is_defective,expected_review_required,n_images,source_classes,view_pairs,image_ids,relative_paths,event_time,recorded_at,is_simulated,roi_model_version,feature_ae_version,raw_dataset_id,manifest_id,piece_event_id,dataset_version,replay_id,validation_id,scenario_version
sim_event_7d17b762bdcb,production_replay_natural,production,natural_replay_v002,True,1,2026-06-15T09:00:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,1,IQA-20260615-L001-P001,piece_event_eaa49238b873,Casting_class1:2022-02-17_13_44_04_140,Casting_class1,2022-02-17_13_44_04_140,2022-02-17T13:44:04.140,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_4b0609683643b720,Casting_class1/train/good/2022-02-17_13_44_04_140_2_3.jpg,2026-06-15T09:00:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_7d17b762bdcb,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_e08ebbb3d497,production_replay_natural,production,natural_replay_v002,True,2,2026-06-15T09:05:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,2,IQA-20260615-L001-P002,piece_event_b830dcb9b840,Casting_class1:2022-02-17_13_48_47_875,Casting_class1,2022-02-17_13_48_47_875,2022-02-17T13:48:47.875,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_5c73456c008f1dfe,Casting_class1/train/good/2022-02-17_13_48_47_875_2_3.jpg,2026-06-15T09:05:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_e08ebbb3d497,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_fd4986dcb113,production_replay_natural,production,natural_replay_v002,True,3,2026-06-15T09:40:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,9,IQA-20260615-L001-P009,piece_event_3b842b092375,Casting_class1:2022-02-18_09_25_20_533,Casting_class1,2022-02-18_09_25_20_533,2022-02-18T09:25:20.533,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_441b152d2bcbccfa,Casting_class1/train/good/2022-02-18_09_25_20_533_2_3.jpg,2026-06-15T09:40:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_fd4986dcb113,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_100dcb34a503,production_replay_natural,production,natural_replay_v002,True,4,2026-06-15T09:45:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,10,IQA-20260615-L001-P010,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_28264fcd0a88e3e2|iqa_casting_94470c18975b9125|iqa_casting_bc6f972259744ddf,Casting_class1/train/good/2022-02-18_10_29_53_504_1_2.jpg|Casting_class1/train/good/2022-02-18_10_29_53_504_1_3.jpg|Casting_class1/train/good/2022-02-18_10_29_53_504_2_3.jpg,2026-06-15T09:45:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_100dcb34a503,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_4cf965cedfa6,production_replay_natural,production,natural_replay_v002,True,5,2026-06-15T09:50:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,11,IQA-20260615-L001-P011,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_1e967d30e1c9cacd|iqa_casting_5e10cc237878b3f9|iqa_casting_8fcd47b13ba0fd76,Casting_class1/train/good/2022-02-18_10_34_00_908_1_2.jpg|Casting_class1/train/good/2022-02-18_10_34_00_908_1_3.jpg|Casting_class1/train/good/2022-02-18_10_34_00_908_2_3.jpg,2026-06-15T09:50:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_4cf965cedfa6,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_6985db6dbff1,production_replay_natural,production,natural_replay_v002,True,6,2026-06-15T09:55:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,12,IQA-20260615-L001-P012,piece_event_54eb03323bf9,Casting_class1:2022-02-18_10_41_02_417,Casting_class1,2022-02-18_10_41_02_417,2022-02-18T10:41:02.417,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_b49d65da466a9d27|iqa_casting_5026fef1c1221f9d|iqa_casting_282976ebfd3f794f,Casting_class1/train/good/2022-02-18_10_41_02_417_1_2.jpg|Casting_class1/train/good/2022-02-18_10_41_02_417_1_3.jpg|Casting_class1/train/good/2022-02-18_10_41_02_417_2_3.jpg,2026-06-15T09:55:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_6985db6dbff1,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_d2370d88c794,production_replay_natural,production,natural_replay_v002,True,7,2026-06-15T10:00:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,13,IQA-20260615-L001-P013,piece_event_d42564e664c9,Casting_class1:2022-02-18_10_45_01_532,Casting_class1,2022-02-18_10_45_01_532,2022-02-18T10:45:01.532,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_847a76ae5b0e92bf|iqa_casting_b81362341a839f8a|iqa_casting_34a9072e983ee2cd,Casting_class1/train/good/2022-02-18_10_45_01_532_1_2.jpg|Casting_class1/train/good/2022-02-18_10_45_01_532_1_3.jpg|Casting_class1/train/good/2022-02-18_10_45_01_532_2_3.jpg,2026-06-15T10:00:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_d2370d88c794,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_df077a19f365,production_replay_natural,production,natural_replay_v002,True,8,2026-06-15T10:05:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,14,IQA-20260615-L001-P014,piece_event_3eb043338083,Casting_class1:2022-02-18_10_51_36_789,Casting_class1,2022-02-18_10_51_36_789,2022-02-18T10:51:36.789,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_7b03cfba14891384|iqa_casting_5874df8e0bba4718|iqa_casting_8887928afe20972b,Casting_class1/train/good/2022-02-18_10_51_36_789_1_2.jpg|Casting_class1/train/good/2022-02-18_10_51_36_789_1_3.jpg|Casting_class1/train/good/2022-02-18_10_51_36_789_2_3.jpg,2026-06-15T10:05:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_df077a19f365,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_201fbcfd1a83,production_replay_natural,production,natural_replay_v002,True,9,2026-06-15T10:10:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,15,IQA-20260615-L001-P015,piece_event_f5a99c4628ff,Casting_class1:2022-02-18_10_55_35_015,Casting_class1,2022-02-18_10_55_35_015,2022-02-18T10:55:35.015,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_5ec759b37b9a2b9c|iqa_casting_e6cbec5dfcff7dbb|iqa_casting_2a50db753d394bb4,Casting_class1/train/good/2022-02-18_10_55_35_015_1_2.jpg|Casting_class1/train/good/2022-02-18_10_55_35_015_1_3.jpg|Casting_class1/train/good/2022-02-18_10_55_35_015_2_3.jpg,2026-06-15T10:10:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_201fbcfd1a83,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_41b7d571c7e1,production_replay_natural,production,natural_replay_v002,True,10,2026-06-15T10:20:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,17,IQA-20260615-L001-P017,piece_event_f3a13ab2a3a0,Casting_class1:2022-02-18_11_03_44_165,Casting_class1,2022-02-18_11_03_44_165,2022-02-18T11:03:44.165,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_3f1220fb9b864252|iqa_casting_48203c3413e63f7d|iqa_casting_f13b61642b90abc6,Casting_class1/train/good/2022-02-18_11_03_44_165_1_2.jpg|Casting_class1/train/good/2022-02-18_11_03_44_165_1_3.jpg|Casting_class1/train/good/2022-02-18_11_03_44_165_2_3.jpg,2026-06-15T10:20:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_41b7d571c7e1,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
