simulated_event_id,scenario_id,scenario_type,scenario_phase,is_representative,sequence_number,scheduled_at,production_date,shift_id,station_id,lot_id,sequence_in_lot,piece_serial,source_event_id,source_event_key,source_class,source_group_key,source_timestamp,label,is_defective,expected_review_required,n_images,source_classes,view_pairs,image_ids,relative_paths,event_time,recorded_at,is_simulated,roi_model_version,feature_ae_version,raw_dataset_id,manifest_id,piece_event_id,dataset_version,replay_id,validation_id,scenario_version,gt_mask_paths
sim_event_eb4eb8d95361,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,1,2026-06-26T10:00:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,1,IQA-PIECEB-FULL-L001-P001-V1,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v1,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_181cb5d237c994c5,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,2026-06-26T10:00:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_8156e2010599,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_863c94de0ac4,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,2,2026-06-26T10:02:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,1,IQA-PIECEB-FULL-L001-P001-V2,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v2,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_44d1576664dd459d,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,2026-06-26T10:02:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_8156e2010599,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_d79aa6211be8,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,3,2026-06-26T10:04:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,1,IQA-PIECEB-FULL-L001-P001-V3,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v3,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_a068fda716f1c781,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,2026-06-26T10:04:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_8156e2010599,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_777cc517e31e,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,4,2026-06-26T10:06:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,2,IQA-PIECEB-FULL-L001-P002-V1,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v1,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_28264fcd0a88e3e2,Casting_class1/train/good/2022-02-18_10_29_53_504_1_2.jpg,2026-06-26T10:06:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_d9389038ee26,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,5,2026-06-26T10:08:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,2,IQA-PIECEB-FULL-L001-P002-V2,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v2,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_94470c18975b9125,Casting_class1/train/good/2022-02-18_10_29_53_504_1_3.jpg,2026-06-26T10:08:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_62552ec9aa89,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,6,2026-06-26T10:10:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,2,IQA-PIECEB-FULL-L001-P002-V3,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v3,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_bc6f972259744ddf,Casting_class1/train/good/2022-02-18_10_29_53_504_2_3.jpg,2026-06-26T10:10:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_f00dd5a1b5be,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,7,2026-06-26T10:12:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,3,IQA-PIECEB-FULL-L001-P003-V1,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v1,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_1e967d30e1c9cacd,Casting_class1/train/good/2022-02-18_10_34_00_908_1_2.jpg,2026-06-26T10:12:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_cf3464f4106d,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,8,2026-06-26T10:14:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,3,IQA-PIECEB-FULL-L001-P003-V2,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v2,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_5e10cc237878b3f9,Casting_class1/train/good/2022-02-18_10_34_00_908_1_3.jpg,2026-06-26T10:14:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_7ebba8e61698,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,9,2026-06-26T10:16:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,3,IQA-PIECEB-FULL-L001-P003-V3,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v3,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_8fcd47b13ba0fd76,Casting_class1/train/good/2022-02-18_10_34_00_908_2_3.jpg,2026-06-26T10:16:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
sim_event_ddafe8e2316c,production_replay_natural_piece_b_full,production,natural_replay_piece_b_full_v001,False,10,2026-06-26T10:18:00,2026-06-26,day_shift,QC-CASTING-01,IQA-PIECEB-FULL-L001,4,IQA-PIECEB-FULL-L001-P004-V1,piece_event_54eb03323bf9,Casting_class1:2022-02-18_10_41_02_417#v1,Casting_class1,2022-02-18_10_41_02_417,2022-02-18T10:41:02.417,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_b49d65da466a9d27,Casting_class1/train/good/2022-02-18_10_41_02_417_1_2.jpg,2026-06-26T10:18:00,2026-06-26T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_full_v001,piece_event_54eb03323bf9,production_replay_natural_piece_b_full,production_replay_natural_piece_b_full,,casting_flux_replay_plan_piece_b_full_v001,
