simulated_event_id,scenario_id,scenario_type,scenario_phase,is_representative,sequence_number,scheduled_at,production_date,shift_id,station_id,lot_id,sequence_in_lot,piece_serial,source_event_id,source_event_key,source_class,source_group_key,source_timestamp,label,is_defective,expected_review_required,n_images,source_classes,view_pairs,image_ids,relative_paths,event_time,recorded_at,is_simulated,roi_model_version,feature_ae_version,raw_dataset_id,manifest_id,piece_event_id,dataset_version,replay_id,validation_id,scenario_version,gt_mask_paths,event_id,event_key,group_key,source_date,source_time,split_set,has_mask
sim_event_b641d2f93c6b,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,1,2026-06-27T08:00:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,1,STABLE_BASELINE_PIECE_B-P0001-07b5bc26,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v1,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_181cb5d237c994c5,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,2026-06-27T08:00:00,2026-06-27T08:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_8156e2010599,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_75ff3a44254d,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,2,2026-06-27T08:02:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,1,STABLE_BASELINE_PIECE_B-P0002-63f71786,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v2,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_44d1576664dd459d,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,2026-06-27T08:02:00,2026-06-27T08:02:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_8156e2010599,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_c004f4fcff36,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,3,2026-06-27T08:04:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,1,STABLE_BASELINE_PIECE_B-P0003-8ed832c0,piece_event_8156e2010599,Casting_class1:2022-02-18_08_50_24_419#v3,Casting_class1,2022-02-18_08_50_24_419,2022-02-18T08:50:24.419,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_a068fda716f1c781,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,2026-06-27T08:04:00,2026-06-27T08:04:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_8156e2010599,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_71088db81b25,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,4,2026-06-27T08:06:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,2,STABLE_BASELINE_PIECE_B-P0004-d3de26ab,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v1,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_28264fcd0a88e3e2,Casting_class1/train/good/2022-02-18_10_29_53_504_1_2.jpg,2026-06-27T08:06:00,2026-06-27T08:06:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_dc6892394c2b,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,5,2026-06-27T08:08:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,2,STABLE_BASELINE_PIECE_B-P0005-80decc25,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v2,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_94470c18975b9125,Casting_class1/train/good/2022-02-18_10_29_53_504_1_3.jpg,2026-06-27T08:08:00,2026-06-27T08:08:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_56dbf76e66d4,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,6,2026-06-27T08:10:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,2,STABLE_BASELINE_PIECE_B-P0006-577ca698,piece_event_2729e5fa782d,Casting_class1:2022-02-18_10_29_53_504#v3,Casting_class1,2022-02-18_10_29_53_504,2022-02-18T10:29:53.504,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_bc6f972259744ddf,Casting_class1/train/good/2022-02-18_10_29_53_504_2_3.jpg,2026-06-27T08:10:00,2026-06-27T08:10:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_2729e5fa782d,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_0ba6de2924cc,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,7,2026-06-27T08:12:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,3,STABLE_BASELINE_PIECE_B-P0007-07c22ed9,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v1,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_1e967d30e1c9cacd,Casting_class1/train/good/2022-02-18_10_34_00_908_1_2.jpg,2026-06-27T08:12:00,2026-06-27T08:12:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_111bac818070,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,8,2026-06-27T08:14:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,3,STABLE_BASELINE_PIECE_B-P0008-ec1b163b,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v2,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:1_3,iqa_casting_5e10cc237878b3f9,Casting_class1/train/good/2022-02-18_10_34_00_908_1_3.jpg,2026-06-27T08:14:00,2026-06-27T08:14:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_c896d619f78f,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,9,2026-06-27T08:16:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,3,STABLE_BASELINE_PIECE_B-P0009-230de4e7,piece_event_1f75ee8dffc8,Casting_class1:2022-02-18_10_34_00_908#v3,Casting_class1,2022-02-18_10_34_00_908,2022-02-18T10:34:00.908,good,False,False,1,Casting_class1,Casting_class1:2_3,iqa_casting_8fcd47b13ba0fd76,Casting_class1/train/good/2022-02-18_10_34_00_908_2_3.jpg,2026-06-27T08:16:00,2026-06-27T08:16:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_1f75ee8dffc8,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
sim_event_65a38d69d80c,production_replay_natural_piece_b_to_piece_a_p4_drift,production_drift,stable_baseline_piece_b,False,10,2026-06-27T08:18:00,2026-06-27,day_shift,QC-CASTING-01,IQA-PB-P4DRIFT-STABLE-L001,4,STABLE_BASELINE_PIECE_B-P0010-9b637bab,piece_event_54eb03323bf9,Casting_class1:2022-02-18_10_41_02_417#v1,Casting_class1,2022-02-18_10_41_02_417,2022-02-18T10:41:02.417,good,False,False,1,Casting_class1,Casting_class1:1_2,iqa_casting_b49d65da466a9d27,Casting_class1/train/good/2022-02-18_10_41_02_417_1_2.jpg,2026-06-27T08:18:00,2026-06-27T08:18:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,piece_event_54eb03323bf9,production_replay_natural_piece_b_to_piece_a_p4_drift,production_replay_natural_piece_b_to_piece_a_p4_drift,,casting_flux_replay_plan_piece_b_to_piece_a_p4_drift_v001,,,,,,,,
