image_id,event_id,source_class,split_set,label,is_defective,relative_path,source_path_exists,sha256,has_gt_mask,gt_mask_relative_path,gt_mask_source_path_exists,n_images_for_event
iqa_casting_bc919b0bd03b1118,piece_event_3be407804636,Casting_class1,train,good,false,Casting_class1/train/good/2022-02-15_13_27_33_995_2_3.jpg,true,71b9b6b1a95772a57a0356f2679dda1c73a05d04973e541217b5a1df3eb6cb36,false,,false,1
iqa_casting_e8e9a445cbdce43e,piece_event_160db1b49ed3,Casting_class2,train,good,false,Casting_class2/train/good/2022-02-15_13_27_33_995_1_3.jpg,true,92827a0b567394908ed571522e59eb475e83679732cdfadf286c81276b4ec315,false,,false,1
iqa_casting_fea8f7fed85e5972,piece_event_9fa05b16828c,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_27_33_995_3_2.jpg,true,ccd5d2d9337e6d8ef186faa1e7e11360e0373118c952992049c7daded11924d3,false,,false,2
iqa_casting_0aef6ef23998239a,piece_event_9fa05b16828c,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_27_33_995_3_3.jpg,true,00974a911b277aa892fba907cd17945ed43daaf061d97194da4bd8205e5769ec,false,,false,2
iqa_casting_638a1b9ecc93ade2,piece_event_88397d92cb6a,Casting_class1,train,good,false,Casting_class1/train/good/2022-02-15_13_33_54_137_2_3.jpg,true,df64b83afb607f5c8f608e465d2dea18ab7d3ce5cb782cf3a65a611ccb0b655e,false,,false,1
iqa_casting_96317cfa4529bd3e,piece_event_4d055559e17e,Casting_class2,train,good,false,Casting_class2/train/good/2022-02-15_13_33_54_137_1_3.jpg,true,8d03d430b9d107ab1da2151c7f11258497b63aa71fe58badd7821504f2cea3a8,false,,false,1
iqa_casting_08d9cd4cc0098c6f,piece_event_9d26d92306f9,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_33_54_137_2_1.jpg,true,52a419367d518564316e1dcce65faa10ad94e46f74ebd7106130239cd126d8a1,false,,false,3
iqa_casting_0a006128bb1a09c1,piece_event_9d26d92306f9,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_33_54_137_3_2.jpg,true,17954dbb7d612bb54c969ceaa42ea94c9880da8d91c81943dd4788688b5a58b6,false,,false,3
iqa_casting_39b717bdb072b33b,piece_event_9d26d92306f9,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_33_54_137_3_3.jpg,true,a6bb4d2ea2f44f4424cca84d28d83a33c76520c1b239b45aec59c81bdb9e7de7,false,,false,3
iqa_casting_42043f896310d27f,piece_event_7d74f180bd7e,Casting_class1,train,good,false,Casting_class1/train/good/2022-02-15_13_38_59_312_2_3.jpg,true,f0a15b34c6db157f6b8ecaf46645508fc250af93de2aaeda85b678cc8d29bf9c,false,,false,1
iqa_casting_3792d98b5e8b1f73,piece_event_82894719c198,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_38_59_312_3_2.jpg,true,74b3bbb7a31e4354d763ac55f24835b86d764eeeea20f4938686f1ba080333b3,false,,false,2
iqa_casting_68a4f46b5617efc4,piece_event_82894719c198,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_38_59_312_3_3.jpg,true,a10a93d52063033cf4980a1ddb1977b5b95c07e5aae05752ee5457a0f764cf41,false,,false,2
iqa_casting_b30dd3d3b7c753aa,piece_event_988b52a4d30f,Casting_class1,train,good,false,Casting_class1/train/good/2022-02-15_13_41_10_881_2_3.jpg,true,d16dd260399b9e8ac5f9a6fc23ed99c17cedf8994b2c39826b1c3fb55a2286c1,false,,false,1
iqa_casting_a7426fe54960eab0,piece_event_e0a2527f1086,Casting_class2,train,good,false,Casting_class2/train/good/2022-02-15_13_41_10_881_1_3.jpg,true,38c639eec702b82e19a1e01dafe4bf9879e5e38f8df0b0fc37cde871bfebc20e,false,,false,1
iqa_casting_6650fd4e05c0f0d1,piece_event_a2351fc75507,Casting_class3,train,good,false,Casting_class3/train/good/2022-02-15_13_41_10_881_2_1.jpg,true,3064f33729df707a64fde6b239a6b16a3b3b1c92a9ba4188cb86943fc003a156,false,,false,3
