event_id,event_key,source_class,group_key,source_timestamp,source_date,source_time,split_set,label,is_defective,n_images,source_classes,view_pairs,has_mask,image_ids,relative_paths,raw_dataset_id,manifest_id,piece_event_id,dataset_version,replay_id,validation_id,scenario_version
piece_event_3be407804636,Casting_class1:2022-02-15_13_27_33_995,Casting_class1,2022-02-15_13_27_33_995,2022-02-15T13:27:33.995,2022-02-15,13:27:33.995,train,good,False,1,Casting_class1,Casting_class1:2_3,False,iqa_casting_bc919b0bd03b1118,Casting_class1/train/good/2022-02-15_13_27_33_995_2_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_3be407804636,hss_iad_casting_raw_v1,,,
piece_event_160db1b49ed3,Casting_class2:2022-02-15_13_27_33_995,Casting_class2,2022-02-15_13_27_33_995,2022-02-15T13:27:33.995,2022-02-15,13:27:33.995,train,good,False,1,Casting_class2,Casting_class2:1_3,False,iqa_casting_e8e9a445cbdce43e,Casting_class2/train/good/2022-02-15_13_27_33_995_1_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_160db1b49ed3,hss_iad_casting_raw_v1,,,
piece_event_9fa05b16828c,Casting_class3:2022-02-15_13_27_33_995,Casting_class3,2022-02-15_13_27_33_995,2022-02-15T13:27:33.995,2022-02-15,13:27:33.995,train,good,False,2,Casting_class3,Casting_class3:3_2|Casting_class3:3_3,False,iqa_casting_fea8f7fed85e5972|iqa_casting_0aef6ef23998239a,Casting_class3/train/good/2022-02-15_13_27_33_995_3_2.jpg|Casting_class3/train/good/2022-02-15_13_27_33_995_3_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_9fa05b16828c,hss_iad_casting_raw_v1,,,
piece_event_88397d92cb6a,Casting_class1:2022-02-15_13_33_54_137,Casting_class1,2022-02-15_13_33_54_137,2022-02-15T13:33:54.137,2022-02-15,13:33:54.137,train,good,False,1,Casting_class1,Casting_class1:2_3,False,iqa_casting_638a1b9ecc93ade2,Casting_class1/train/good/2022-02-15_13_33_54_137_2_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_88397d92cb6a,hss_iad_casting_raw_v1,,,
piece_event_4d055559e17e,Casting_class2:2022-02-15_13_33_54_137,Casting_class2,2022-02-15_13_33_54_137,2022-02-15T13:33:54.137,2022-02-15,13:33:54.137,train,good,False,1,Casting_class2,Casting_class2:1_3,False,iqa_casting_96317cfa4529bd3e,Casting_class2/train/good/2022-02-15_13_33_54_137_1_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_4d055559e17e,hss_iad_casting_raw_v1,,,
piece_event_9d26d92306f9,Casting_class3:2022-02-15_13_33_54_137,Casting_class3,2022-02-15_13_33_54_137,2022-02-15T13:33:54.137,2022-02-15,13:33:54.137,train,good,False,3,Casting_class3,Casting_class3:2_1|Casting_class3:3_2|Casting_class3:3_3,False,iqa_casting_08d9cd4cc0098c6f|iqa_casting_0a006128bb1a09c1|iqa_casting_39b717bdb072b33b,Casting_class3/train/good/2022-02-15_13_33_54_137_2_1.jpg|Casting_class3/train/good/2022-02-15_13_33_54_137_3_2.jpg|Casting_class3/train/good/2022-02-15_13_33_54_137_3_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_9d26d92306f9,hss_iad_casting_raw_v1,,,
piece_event_7d74f180bd7e,Casting_class1:2022-02-15_13_38_59_312,Casting_class1,2022-02-15_13_38_59_312,2022-02-15T13:38:59.312,2022-02-15,13:38:59.312,train,good,False,1,Casting_class1,Casting_class1:2_3,False,iqa_casting_42043f896310d27f,Casting_class1/train/good/2022-02-15_13_38_59_312_2_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_7d74f180bd7e,hss_iad_casting_raw_v1,,,
piece_event_82894719c198,Casting_class3:2022-02-15_13_38_59_312,Casting_class3,2022-02-15_13_38_59_312,2022-02-15T13:38:59.312,2022-02-15,13:38:59.312,train,good,False,2,Casting_class3,Casting_class3:3_2|Casting_class3:3_3,False,iqa_casting_3792d98b5e8b1f73|iqa_casting_68a4f46b5617efc4,Casting_class3/train/good/2022-02-15_13_38_59_312_3_2.jpg|Casting_class3/train/good/2022-02-15_13_38_59_312_3_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_82894719c198,hss_iad_casting_raw_v1,,,
piece_event_988b52a4d30f,Casting_class1:2022-02-15_13_41_10_881,Casting_class1,2022-02-15_13_41_10_881,2022-02-15T13:41:10.881,2022-02-15,13:41:10.881,train,good,False,1,Casting_class1,Casting_class1:2_3,False,iqa_casting_b30dd3d3b7c753aa,Casting_class1/train/good/2022-02-15_13_41_10_881_2_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_988b52a4d30f,hss_iad_casting_raw_v1,,,
piece_event_e0a2527f1086,Casting_class2:2022-02-15_13_41_10_881,Casting_class2,2022-02-15_13_41_10_881,2022-02-15T13:41:10.881,2022-02-15,13:41:10.881,train,good,False,1,Casting_class2,Casting_class2:1_3,False,iqa_casting_a7426fe54960eab0,Casting_class2/train/good/2022-02-15_13_41_10_881_1_3.jpg,hss_iad_casting_raw_v1,casting_piece_events_v001,piece_event_e0a2527f1086,hss_iad_casting_raw_v1,,,
