image_id,image_ids,relative_path,relative_paths,event_id,source_class,split_set,label,is_defective,scenario_id,dataset_version,manifest_version,gt_mask_path,oracle_verdict,train_eligible,train_eligibility_source,quarantine_reason
iqa_casting_181cb5d237c994c5,iqa_casting_181cb5d237c994c5,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_44d1576664dd459d,iqa_casting_44d1576664dd459d,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_a068fda716f1c781,iqa_casting_a068fda716f1c781,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_546abbfef34f8bf8,iqa_casting_546abbfef34f8bf8,Casting_class1/train/good/2022-02-18_09_16_49_065_2_3.jpg,Casting_class1/train/good/2022-02-18_09_16_49_065_2_3.jpg,sim_event_628cce589563,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_b32e35d5c2eb403e,iqa_casting_b32e35d5c2eb403e,Casting_class1/train/good/2022-02-18_09_20_56_550_2_3.jpg,Casting_class1/train/good/2022-02-18_09_20_56_550_2_3.jpg,sim_event_8b0eb64d86da,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_03c0b48ec0c88f9f,iqa_casting_03c0b48ec0c88f9f,Casting_class1/train/good/2022-02-18_10_59_41_854_1_2.jpg,Casting_class1/train/good/2022-02-18_10_59_41_854_1_2.jpg,sim_event_3c201d12085a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_ecdb88700c4d7c55,iqa_casting_ecdb88700c4d7c55,Casting_class1/train/good/2022-02-18_10_59_41_854_1_3.jpg,Casting_class1/train/good/2022-02-18_10_59_41_854_1_3.jpg,sim_event_3c201d12085a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_c78b3f2f84befaeb,iqa_casting_c78b3f2f84befaeb,Casting_class1/train/good/2022-02-18_10_59_41_854_2_3.jpg,Casting_class1/train/good/2022-02-18_10_59_41_854_2_3.jpg,sim_event_3c201d12085a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_cb0b397b9ec823f1,iqa_casting_cb0b397b9ec823f1,Casting_class1/train/good/2022-02-18_11_39_48_227_1_2.jpg,Casting_class1/train/good/2022-02-18_11_39_48_227_1_2.jpg,sim_event_2ea90443761f,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_2eceb894a63d192f,iqa_casting_2eceb894a63d192f,Casting_class1/train/good/2022-02-18_11_39_48_227_1_3.jpg,Casting_class1/train/good/2022-02-18_11_39_48_227_1_3.jpg,sim_event_2ea90443761f,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_76f8f416bdf26f1f,iqa_casting_76f8f416bdf26f1f,Casting_class1/train/good/2022-02-18_11_39_48_227_2_3.jpg,Casting_class1/train/good/2022-02-18_11_39_48_227_2_3.jpg,sim_event_2ea90443761f,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_9c3eda21e4581f16,iqa_casting_9c3eda21e4581f16,Casting_class1/train/good/2022-02-18_12_20_56_962_1_2.jpg,Casting_class1/train/good/2022-02-18_12_20_56_962_1_2.jpg,sim_event_334fb827549a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_ddce79a55f87c559,iqa_casting_ddce79a55f87c559,Casting_class1/train/good/2022-02-18_12_20_56_962_1_3.jpg,Casting_class1/train/good/2022-02-18_12_20_56_962_1_3.jpg,sim_event_334fb827549a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_31ca9513f8a68555,iqa_casting_31ca9513f8a68555,Casting_class1/train/good/2022-02-18_12_20_56_962_2_3.jpg,Casting_class1/train/good/2022-02-18_12_20_56_962_2_3.jpg,sim_event_334fb827549a,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_d56ec092d636fe11,iqa_casting_d56ec092d636fe11,Casting_class1/train/good/2022-02-18_12_32_26_109_1_2.jpg,Casting_class1/train/good/2022-02-18_12_32_26_109_1_2.jpg,sim_event_e049f869addc,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_cdfaa990ac3c0657,iqa_casting_cdfaa990ac3c0657,Casting_class1/train/good/2022-02-18_12_32_26_109_1_3.jpg,Casting_class1/train/good/2022-02-18_12_32_26_109_1_3.jpg,sim_event_e049f869addc,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_0675c19520e3975b,iqa_casting_0675c19520e3975b,Casting_class1/train/good/2022-02-18_12_32_26_109_2_3.jpg,Casting_class1/train/good/2022-02-18_12_32_26_109_2_3.jpg,sim_event_e049f869addc,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_e871d39fa78a9f76,iqa_casting_e871d39fa78a9f76,Casting_class3/train/good/2022-02-15_15_21_27_644_2_1.jpg,Casting_class3/train/good/2022-02-15_15_21_27_644_2_1.jpg,sim_event_858251119623,Casting_class3,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_0de8d19171aa986b,iqa_casting_0de8d19171aa986b,Casting_class3/train/good/2022-02-15_15_21_27_644_3_2.jpg,Casting_class3/train/good/2022-02-15_15_21_27_644_3_2.jpg,sim_event_858251119623,Casting_class3,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_932ff55ef9d30904,iqa_casting_932ff55ef9d30904,Casting_class3/train/good/2022-02-15_15_21_27_644_3_3.jpg,Casting_class3/train/good/2022-02-15_15_21_27_644_3_3.jpg,sim_event_858251119623,Casting_class3,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_c7c6f93e68d8175a,iqa_casting_c7c6f93e68d8175a,Casting_class2/train/good/2022-02-15_15_41_16_102_1_3.jpg,Casting_class2/train/good/2022-02-15_15_41_16_102_1_3.jpg,sim_event_5ab8835c9797,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_d9ae3371edfbb340,iqa_casting_d9ae3371edfbb340,Casting_class2/train/good/2022-02-15_15_42_51_532_1_3.jpg,Casting_class2/train/good/2022-02-15_15_42_51_532_1_3.jpg,sim_event_ffa3b7a7b63e,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_0a911c5ef0a209b0,iqa_casting_0a911c5ef0a209b0,Casting_class2/train/good/2022-02-15_15_52_21_364_1_3.jpg,Casting_class2/train/good/2022-02-15_15_52_21_364_1_3.jpg,sim_event_533d38b3a5a4,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_220cc141d131ef80,iqa_casting_220cc141d131ef80,Casting_class2/train/good/2022-02-15_15_54_06_009_1_1.jpg,Casting_class2/train/good/2022-02-15_15_54_06_009_1_1.jpg,sim_event_acb305c1a594,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_3e6ebcee31b04276,iqa_casting_3e6ebcee31b04276,Casting_class2/train/good/2022-02-15_15_54_06_009_1_2.jpg,Casting_class2/train/good/2022-02-15_15_54_06_009_1_2.jpg,sim_event_acb305c1a594,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_9eaff32825acb354,iqa_casting_9eaff32825acb354,Casting_class2/train/good/2022-02-15_15_54_06_009_2_1.jpg,Casting_class2/train/good/2022-02-15_15_54_06_009_2_1.jpg,sim_event_acb305c1a594,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_33a6056efe35ca30,iqa_casting_33a6056efe35ca30,Casting_class2/train/good/2022-02-15_15_54_06_009_2_2.jpg,Casting_class2/train/good/2022-02-15_15_54_06_009_2_2.jpg,sim_event_acb305c1a594,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_3940923151140108,iqa_casting_3940923151140108,Casting_class2/train/good/2022-02-15_16_10_19_639_1_3.jpg,Casting_class2/train/good/2022-02-15_16_10_19_639_1_3.jpg,sim_event_9a203764a1e6,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
iqa_casting_3b3d839dbc9a5587,iqa_casting_3b3d839dbc9a5587,Casting_class2/train/good/2022-02-15_16_12_13_766_1_3.jpg,Casting_class2/train/good/2022-02-15_16_12_13_766_1_3.jpg,sim_event_582fa9562852,Casting_class2,production_replay_natural,good,False,production_replay_natural,feature_ae_good_mvp_v001,feature_ae_good_v002_manifest_v001,,conforme,True,oracle_gt,
