image_id,image_ids,relative_path,relative_paths,event_id,source_class,split_set,label,is_defective,scenario_id,dataset_version,manifest_version,gt_mask_path,oracle_verdict,train_eligible,train_eligibility_source,quarantine_reason
iqa_casting_4b0609683643b720,iqa_casting_4b0609683643b720,Casting_class1/train/good/2022-02-17_13_44_04_140_2_3.jpg,Casting_class1/train/good/2022-02-17_13_44_04_140_2_3.jpg,sim_event_7d17b762bdcb,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_5c73456c008f1dfe,iqa_casting_5c73456c008f1dfe,Casting_class1/train/good/2022-02-17_13_48_47_875_2_3.jpg,Casting_class1/train/good/2022-02-17_13_48_47_875_2_3.jpg,sim_event_e08ebbb3d497,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_181cb5d237c994c5,iqa_casting_181cb5d237c994c5,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_1_2.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_44d1576664dd459d,iqa_casting_44d1576664dd459d,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_1_3.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_a068fda716f1c781,iqa_casting_a068fda716f1c781,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,Casting_class1/train/good/2022-02-18_08_50_24_419_2_3.jpg,sim_event_e96505142c1e,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_0e0ece17d037f6c6,iqa_casting_0e0ece17d037f6c6,Casting_class1/train/good/2022-02-18_09_08_10_186_2_3.jpg,Casting_class1/train/good/2022-02-18_09_08_10_186_2_3.jpg,sim_event_49711276c505,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_1ffdefca5ed638c5,iqa_casting_1ffdefca5ed638c5,Casting_class1/train/good/2022-02-18_09_08_41_096_2_3.jpg,Casting_class1/train/good/2022-02-18_09_08_41_096_2_3.jpg,sim_event_bc82a28a0588,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_3e6d88e45f9cb316,iqa_casting_3e6d88e45f9cb316,Casting_class1/train/good/2022-02-18_09_14_24_353_2_3.jpg,Casting_class1/train/good/2022-02-18_09_14_24_353_2_3.jpg,sim_event_d78201cd5739,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_546abbfef34f8bf8,iqa_casting_546abbfef34f8bf8,Casting_class1/train/good/2022-02-18_09_16_49_065_2_3.jpg,Casting_class1/train/good/2022-02-18_09_16_49_065_2_3.jpg,sim_event_628cce589563,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
iqa_casting_b32e35d5c2eb403e,iqa_casting_b32e35d5c2eb403e,Casting_class1/train/good/2022-02-18_09_20_56_550_2_3.jpg,Casting_class1/train/good/2022-02-18_09_20_56_550_2_3.jpg,sim_event_8b0eb64d86da,Casting_class1,production_replay_natural,good,False,production_replay_natural,feature_ae_good_v002,feature_ae_good_v002_manifest_v001,,conforme,true,oracle_gt,
